sample,hifi_dir,hic_dir,version,date,tolid,taxid,species
OG90,/scratch/pawsey0964/lhuet/ref-gen/OG90/hifi,/scratch/pawsey0964/lhuet/ref-gen/OG90/hic,hic1,v240821,OG90,2578334,Pseudocaranx georgianus
OG686,/scratch/pawsey0964/lhuet/ref-gen/OG686/hifi,/scratch/pawsey0964/lhuet/ref-gen/OG686/hic,hic1,v241004,OG686,3040455,Carangoides orthogrammus
OG748,/scratch/pawsey0964/lhuet/ref-gen/OG748/hifi,/scratch/pawsey0964/lhuet/ref-gen/OG748/hic,hic1,v241018,OG748,1711928,Plectranthias bennetti
OG775,/scratch/pawsey0964/lhuet/ref-gen/OG775/hifi,/scratch/pawsey0964/lhuet/ref-gen/OG775/hic,hic1,v241004,OG775,181478,Sufflamen fraenatum
OG767,/scratch/pawsey0964/lhuet/ref-gen/OG767/hifi,/scratch/pawsey0964/lhuet/ref-gen/OG767/hic,hic1,v240821241004,OG767,1856566,Cirrhilabrus roseafascia
OG849,/scratch/pawsey0964/lhuet/ref-gen/OG849/hifi,/scratch/pawsey0964/lhuet/ref-gen/OG849/hic,hic1,v241127,OG849,3362675,Barathrites iris
OG767,/scratch/pawsey0964/lhuet/ref-gen/OG767/hifi,/scratch/pawsey0964/lhuet/ref-gen/OG767/hic,hic1,v250331,OG767,1856566,Cirrhilabrus roseafascia
OG90_bc2008,/scratch/pawsey0964/lhuet/ref-gen/OG90_bc2008/hifi,/scratch/pawsey0964/lhuet/ref-gen/OG90_bc2008/hic,hic1,v240821,OG90_bc2008,2578334,Pseudocaranx georgianus
