task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
39	4c/6361c6	22382846	OCEANGENOMES_REFGENOMES:REFGENOMES:FQ_GZ_TO_FA (OG679_v250307.hifi1)	COMPLETED	0	2025-03-18 16:09:15.825	15m	13m 52s	26.4%	6.8 MB	19.3 MB	147.9 GB	110.9 GB
17	b8/983ed6	22380872	OCEANGENOMES_REFGENOMES:REFGENOMES:HIFIASM_SOLO (OG62_v250307.hifi1)	COMPLETED	0	2025-03-18 15:29:16.033	58m	16m 57s	5479.4%	25.4 GB	32.8 GB	9.7 GB	10.9 GB
24	9a/8c270a	22381347	OCEANGENOMES_REFGENOMES:REFGENOMES:MERYL_COUNT (OG64_v250307.hifi1)	COMPLETED	0	2025-03-18 15:42:15.859	49m	20m 37s	523.0%	97.4 GB	99.4 GB	42.8 GB	41.5 GB
19	58/6b9e70	22381243	OCEANGENOMES_REFGENOMES:REFGENOMES:MERYL_COUNT (OG794_v250307.hifi1)	COMPLETED	0	2025-03-18 15:39:32.815	52m 43s	22m 5s	596.0%	104.8 GB	106.9 GB	44.9 GB	46.7 GB
20	fe/dd9e19	22381225	OCEANGENOMES_REFGENOMES:REFGENOMES:HIFIASM_SOLO (OG794_v250307.hifi1)	COMPLETED	0	2025-03-18 15:39:15.761	55m	24m 2s	6343.1%	26.2 GB	33 GB	17.4 GB	14.1 GB
26	f9/da26c9	22381348	OCEANGENOMES_REFGENOMES:REFGENOMES:HIFIASM_SOLO (OG64_v250307.hifi1)	COMPLETED	0	2025-03-18 15:42:15.945	58m	29m 51s	7809.5%	31.4 GB	37 GB	16.2 GB	13.5 GB
31	b1/310ee7	22381878	OCEANGENOMES_REFGENOMES:REFGENOMES:MERYL_COUNT (OG70_v250307.hifi1)	COMPLETED	0	2025-03-18 15:57:16.257	59m	45m 22s	514.7%	142.9 GB	145.1 GB	94.5 GB	91.5 GB
29	f3/336f9b	22381836	OCEANGENOMES_REFGENOMES:REFGENOMES:MERYL_COUNT (OG73_v250307.hifi1)	COMPLETED	0	2025-03-18 15:56:16.029	1h	46m 14s	494.1%	102.8 GB	105.2 GB	94.6 GB	96.4 GB
28	eb/bf426c	22381835	OCEANGENOMES_REFGENOMES:REFGENOMES:HIFIASM_SOLO (OG73_v250307.hifi1)	COMPLETED	0	2025-03-18 15:56:15.952	1h 3m	48m 46s	8062.5%	38.8 GB	45.4 GB	27.4 GB	20.4 GB
32	e7/b62e36	22381877	OCEANGENOMES_REFGENOMES:REFGENOMES:HIFIASM_SOLO (OG70_v250307.hifi1)	COMPLETED	0	2025-03-18 15:57:16.176	1h 3m	49m 32s	7818.5%	35.6 GB	41 GB	30.3 GB	19.9 GB
